activity_name,activity_type,activity_category,pipeline_name,factory_name,factory_type,subscription_id,subscription_name,ir_type,linked_service,depends_on
ForEach1,ForEach,ControlFlow,foreach-copy,Jyo-1204-ADF-snowflake,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
list tables,Lookup,DataAccess,foreach-copy,Jyo-1204-ADF-snowflake,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Copy data1,Copy,DataMovement,sureshm_test1,fieldeng-migrations,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Execute Jobs API,WebActivity,DataAccess,Run Now,aamindatafactory,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Wait until job completes,Until,ControlFlow,Run Now,aamindatafactory,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Notebook1,DatabricksNotebook,Transformation,Process Data with Databricks,aamindatafactory,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Wait1,Wait,ControlFlow,pipeline1,nl-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
DemoNotebook,DatabricksNotebook,Transformation,pipeline1,dleiva-df,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Copy data1,Copy,DataMovement,pipeline1,weather-pipeline-mglbe,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Job1,Unknown,Unknown,pipeline2,dleiva-df,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,fieldengeast,[]
nb_tester,DatabricksNotebook,Transformation,pipe_rsm_shared_policy,cdg-rsm-tester,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
nb_tester,DatabricksNotebook,Transformation,pipe_rsm_single_policy,cdg-rsm-tester,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Copy from SFTP to ADLS,Copy,DataMovement,sftp-to-adls-pipeline,jl-adf-test,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
wtf,Copy,DataMovement,pipe_zipper,cdg-rsm-tester,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
LookupLastChangeTrackingVersionActivity,Lookup,DataAccess,IncrementalCopyPipeline,stuart-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
