name,type,factory_name,factory_type,subscription_id,subscription_name,linked_service_name,folder,schema_columns,parameter_count,pipelines_using_it
NewDataBlob,DelimitedText,CSEdemoDataFactory,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0,
DS_Folder,Binary,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,1,
ds_adls_parquet,Parquet,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,2,
AzureDatabricksDeltaLakeDataset,AzureDatabricksDeltaLakeDataset,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,2,"Delta-copyTo-fleetmaintenance, fleetmaintenance-copy_toDelta, fleetmaintenance-copy_toDelta_copy1"
DS_SQL_Generic,SqlServerTable,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,4,"PL_GENERIC_INGEST_WATERMARK, PL_Generic_Full_Load, PL_Generic_SQL_CHANGETRACKING"
DS_FileParam,Binary,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,2,
Binary2,Binary,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0,pipeline1
ds_adls_parquet_maintenanceheader,Parquet,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,2,"fleetmaintenance-copy, fleetmaintenance-copy_detailed, fleetmaintenance-copy_usingJob"
DS_ADLSGEN2,Parquet,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,2,"PL_GENERIC_INGEST_WATERMARK, PL_Generic_Full_Load, PL_Generic_SQL_CHANGETRACKING, PL_ODBC_Decrypt_Generic"
source_sql_table,AzureSqlTable,nshetty-test,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,3,2,
LS_ADLS_Binary,Binary,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,2,
Binary1,Binary,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0,pipeline1
Excel1,Excel,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0,Excel
DS_SQL_Config,SqlServerTable,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,13,0,
DataDestination,DelimitedText,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,2,
Json1,Json,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0,
AzureSqlDatabaseDataSource,AzureSqlTable,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0,
