pipeline_name,factory_name,factory_type,subscription_id,is_metadata_driven,confidence,signals_found,parameter_count,variable_count,has_foreach_executepipeline,has_parameterized_datasets,metadata_param_count,template_group_id,subscription_name
Execute Databricks Job using MI,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,3,1,False,False,0,-4840318173885224883,field-eng
Web Activity List Runs MI,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,6267778854561202462,field-eng
Delta-copyTo-fleetmaintenance2,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,2986451988485003859,field-eng
End_2_End_Data_Loading,nshetty-test,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,1,False,False,0,1784216642942851348,field-eng
Data Flow with Delta,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,6588731230599605687,field-eng
Web Activity Job Execution MI_2_0,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,6267778854561202462,field-eng
Execute Databricks Job - ADF MultiTask Test,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,-1458777991191879360,field-eng
Delta Sharing APIs2,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,1,False,False,0,-7583853073290425413,field-eng
fleetmaintenance-copy,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Likely,Medium,parameterized_datasets,0,0,False,True,0,-4430719542637160689,field-eng
AKV API Test,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,1,1,False,False,0,6267778854561202462,field-eng
DBSQL_ODBC,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,2986451988485003859,field-eng
fleetmaintenance-copy_detailed,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Likely,Medium,parameterized_datasets,0,0,False,True,0,8875973882079193388,field-eng
Web Activity Job Execution MI_2_1,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,6267778854561202462,field-eng
ACL Testing,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,-2241954787027104022,field-eng
UC Test pipeline 2,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,-2241954787027104022,field-eng
Execute Databricks DLT Pipeline using MI,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,4,1,False,False,0,6338217463165230401,field-eng
UC Test pipeline,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,-2241954787027104022,field-eng
Full Path,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,-2241954787027104022,field-eng
Delta Sharing APIs,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,2,False,False,0,-2255230983346313866,field-eng
PL_ODBC_Decrypt_Generic,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Likely,Medium,parameterized_datasets,7,0,False,True,2,6012635420841798744,field-eng
PAT API to AKV Secret,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,1,1,False,False,0,-2764960385373764066,field-eng
UC Test pipeline 3,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,-2241954787027104022,field-eng
Delta Sharing APIs_copy1,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,2,False,False,0,-2255230983346313866,field-eng
PL_Generic_File_Load,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,3,0,False,False,0,2771063070316373290,field-eng
PL_Generic_SQL_CHANGETRACKING,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Likely,Medium,parameterized_datasets,8,1,False,True,2,-7975684278390257131,field-eng
Ingest AdventureWorksOLTP to Databricks Workflow,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Likely,Medium,parameterized_datasets,0,0,False,True,0,4586041929546577993,field-eng
