factory_name,datasetName,linkedService,schema,table,type,subscription_name
jok-adf,DestinationDataset_zxz,AzureSynapseAnalytics1,dbo,localspectclass4_jokeeffe,AzureSqlDWTable,field-eng
jok-adf,Json2,ADLgen2,,,Json,field-eng
jok-adf,Json1,AzureDataLakeStore1,,,Json,field-eng
jok-adf,Parquet1,AzureBlobStorage1,,,Parquet,field-eng
jok-adf,Binary2,AzureBlobStorage1,,,Binary,field-eng
jok-adf,Json3,ADLgen2,,,Json,field-eng
jok-adf,Binary1,AzureBlobStorage1,,,Binary,field-eng
jok-adf,Json4,ADLgen2,,,Json,field-eng
jok-adf,CosmosDbSqlApiCollection1,CosmosDb1,,,CosmosDbSqlApiCollection,field-eng
jok-adf,telemetry,jokscratchsa1,,,Binary,field-eng
jok-adf,datadrop,jokscratchsa1,,,Binary,field-eng
jok-adf,SynapseScratch,SynapseScratchDB,dbo,ksp,AzureSqlDWTable,field-eng
jok-adf,DeltaLake,ADLgen2,,,Parquet,field-eng
jok-adf,SynapseOrbits,SynapseJOKDW1,dbo,Orbits,AzureSqlDWTable,field-eng
jok-adf,simplespectra,jokscratchsa1,,,DelimitedText,field-eng
jok-adf,simplespectrajson,ADLgen2,,,Json,field-eng
jok-adf,ListClusters,Databricks_REST_SP,,,RestResource,field-eng
jok-adf,cluster_list,ADLgen2,,,DelimitedText,field-eng
jok-adf,cluster_list_mdf,ADLgen2,,,DelimitedText,field-eng
jok-adf,ListClusters_MI,Databricks_REST_MI,,,RestResource,field-eng
jok-adf,azuresqlairplanes,AzureSqlDatabase1,dbo,Airplanes,AzureSqlTable,field-eng
jok-adf,dboCapitals,AzureSqlDatabase1,dbo,Capitals,AzureSqlTable,field-eng
pmt-adf-jason-ping-sftp,DestinationDataset_1s2,AzureFileStorage1,,,DelimitedText,azure-test-pm
pmt-adf-jason-ping-sftp,SourceDataset_1s2,Sftp_cuj_jasonping_dale_server,,,DelimitedText,azure-test-pm
pmt-adf-jason-ping-sftp,SourceDataset_nmh,Sftp_cuj_jasonping_dale_server,,,Binary,azure-test-pm
pmt-adf-jason-ping-sftp,DestinationDataset_nmh,AzureFileStorage1,,,Binary,azure-test-pm
amanpsdatafactory,aman_delta_lake_table,ls_azure_databricks_delta_lake,,demat_account_trxns,AzureDatabricksDeltaLakeDataset,field-eng
tfayyaz-west-us-adf,DestinationDataset_k3m,AzureDatabricksDeltaLake1,,adf_pipeline_yellow_parquet_dbx,AzureDatabricksDeltaLakeDataset,azure-test-pm
tfayyaz-west-us-adf,SourceDataset_k3m,AzureDataLakeStorage_ etlstoragewestus,,,Parquet,azure-test-pm
steven-psa-orchestration,DS_Sink_Parquet,AzureDataLakeStorage1,,,Parquet,field-eng
steven-psa-orchestration,DS_Source_Parquet,AzureDataLakeStorage1,,,Parquet,field-eng
tfayyaz-ne-adf,DestinationDataset_ivn,AzureDataLakeStorage1,,,Parquet,azure-test-pm
tfayyaz-ne-adf,SourceDataset_ivn,AzureDataLakeStorage1,,,Json,azure-test-pm
tfayyaz-ne-adf,DestinationADLSGen2_adf_ingestion_raw_cloudflare_logs_raw,AzureDataLakeStorage1,,,Parquet,azure-test-pm
tfayyaz-ne-adf,cloudflare_logs_raw_copy_demo_json,AzureDataLakeStorage1,,,Json,azure-test-pm
tfayyaz-ne-adf,SourceDataset_bn5,AzureDataLakeStorage1,,,Json,azure-test-pm
tfayyaz-ne-adf,SourceDataset_72z,AzureDataLakeStorage1,,,Json,azure-test-pm
tfayyaz-ne-adf,SourceAdlsGen2_machine_logs_multilinejson,AzureDataLakeStorage1,,,Json,azure-test-pm
tfayyaz-ne-adf,SourceAdlsGen2_cloudflare_logs_multilinejson,AzureDataLakeStorage1,,,Json,azure-test-pm
tfayyaz-ne-adf,DestinationADLSGen2_adf_ingestion_raw_cloudflare_logs_raw_copy1,AzureDataLakeStorage1,,,Parquet,azure-test-pm
ray-data-factory-1,DestinationDataset_lem,AzureBlobStorage1,,,DelimitedText,azure-test-pm
ray-data-factory-1,SourceDataset_lem,AzureBlobStorage1,,,DelimitedText,azure-test-pm
ray-data-factory-1,DestinationDataset_g4l,AzureBlobStorage1,,,DelimitedText,azure-test-pm
ray-data-factory-1,SourceDataset_g4l,AzureBlobStorage1,,,DelimitedText,azure-test-pm
adf-adr,ds_population_raw_gz,ls_ablob_covidreportingsa,,,DelimitedText,azure-test-pm
adf-adr,ds_population_raw_tsv,ls_adls_covidreportingdl,,,DelimitedText,azure-test-pm
adf-adr,ds_ecdc_raw_csv_http,ls_http_opendata_ecdc_europa_eu,,,DelimitedText,azure-test-pm
adf-adr,ds_ecdc_raw_csv_dl,ls_adls_covidreportingdl,,,DelimitedText,azure-test-pm
adf-adr,ds_acdc_file_list,ls_ablob_covidreportingsa,,,Json,azure-test-pm
adf-adr,ds_country_lookup,ls_adls_covidreportingdl,,,DelimitedText,azure-test-pm
adf-adr,ds_raw_cases_and_deaths,ls_adls_covidreportingdl,,,DelimitedText,azure-test-pm
adf-adr,ds_processed_cases_and_deaths,ls_adls_covidreportingdl,,,DelimitedText,azure-test-pm
adf-demo-snehil,DelimitedText1,AzureDataLakeStorage1,,,DelimitedText,field-eng
adf-demo-snehil,DelimitedText2,AzureDataLakeStorage1,,,DelimitedText,field-eng
adf-demo-snehil,Xml2,AzureDataLakeStorage2,,,Xml,field-eng
adf-demo-snehil,Json1,AzureDataLakeStorage2,,,Json,field-eng
adf-demo-snehil,Parquet1,AzureDataLakeStorage2,,,Parquet,field-eng
adf-demo-snehil,DelimitedText3,AzureDataLakeStorage2,,,DelimitedText,field-eng
adf-demo-snehil,Xml3,HttpServer1,,,Xml,field-eng
nshetty-test,source_sql_table,azure_sql_nithya_demo_db,"{'value': '@dataset().schema', 'type': 'Expression'}","{'value': 'dataset().table_name', 'type': 'Expression'}",AzureSqlTable,field-eng
nshetty-test,sink_json_file,oneenvadls_nshettydemodata,,,Json,field-eng
