activity_name,pipeline_name,factory_name,factory_type,subscription_id,subscription_name,source_connector,sink_connector,source_linked_service,sink_linked_service,source_dataset,sink_dataset,ir_type_used
Copy_y03,pipeline_to_lakehouse_single_file,pmt_fabric_ws,Fabric,,,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",Microsoft Fabric Lakehouse,,,,,Azure
Copy_2o3,LoadUKPropertyCSV,pmt_fabric_ws,Fabric,,,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",Microsoft Fabric Data Warehouse,,,,,Azure
Copy_men,LoadfromLakehouse,pmt_fabric_ws,Fabric,,,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",Microsoft Fabric Data Warehouse,,,,,Azure
Copy_qmb,warehousemigration_pipeline3,pmt_fabric_ws,Fabric,,,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",Microsoft Fabric Data Warehouse,,,,,Azure
Copy_2o3,LoadUKPropertyCSV_CUJ5,pmt_fabric_ws,Fabric,,,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",Microsoft Fabric Data Warehouse,,,,,Azure
Copy_9d7,pipeline_to_lakehouse,pmt_fabric_ws,Fabric,,,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",Microsoft Fabric Lakehouse,,,,,Azure
Copy_gcd,pipeline_parquet,pmt_fabric_ws,Fabric,,,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",Microsoft Fabric Data Warehouse,,,,,Azure
Copy_gcd_copy1,pipeline_parquet,pmt_fabric_ws,Fabric,,,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",Microsoft Fabric Data Warehouse,,,,,Azure
Copy_gn3,pipeline_to_warehouse_single_file,pmt_fabric_ws,Fabric,,,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",Microsoft Fabric Data Warehouse,,,,,Azure
Copy_e2g,pipeline_to_warehouse_single_file_2,pmt_fabric_ws,Fabric,,,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",Microsoft Fabric Data Warehouse,,,,,Azure
Copy_publishoutcomes,getadlsdata_test2,pmt_fabric_ws,Fabric,,,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",Microsoft Fabric Lakehouse,,,,,Azure
Copy_g8k,pipeline2,pmt_fabric_ws,Fabric,,,Microsoft Fabric Lakehouse,Microsoft Fabric Lakehouse,,,,,Azure
CopyNewFiles,testtriggers_wasim,pmt_fabric_ws,Fabric,,,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)","Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,,,Azure
Copy_dimdate,warehousemigration_pipeline4,pmt_fabric_ws,Fabric,,,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",Microsoft Fabric Data Warehouse,,,,,Azure
Copy_customer_address3,warehousemigration_pipeline4,pmt_fabric_ws,Fabric,,,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",Microsoft Fabric Data Warehouse,,,,,Azure
Copy_3kb,incremental-ingestion,pmt_fabric_ws,Fabric,,,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",Microsoft Fabric Lakehouse,,,,,Azure
Copy_3kb,incremental-ingestion_copy1,pmt_fabric_ws,Fabric,,,Microsoft Fabric Lakehouse,Microsoft Fabric Lakehouse,,,,,Azure
Copy data1,incremental-ingestion2,pmt_fabric_ws,Fabric,,,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",Microsoft Fabric Data Warehouse,,,,,Azure
Copy_mtc,cuj_summer_02,pmt_fabric_ws,Fabric,,,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",Microsoft Fabric Lakehouse,,,,,Azure
Copy_d6h,pipeline9,pmt_fabric_ws,Fabric,,,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)","Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,,,Azure
Copy_bqu,Factory_Data_Ingest,pmt_fabric_ws,Fabric,,,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",Microsoft Fabric Lakehouse,,,,,Azure
Copy_qhw,nyc_taxi_pipeline,pmt_fabric_ws,Fabric,,,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)","Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,,,Azure
Copy_xby,cloudflare_logs_ingest,pmt_fabric_ws,Fabric,,,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)","Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,,,Azure
Copy_xby_copy1,cloudflare_logs_ingest,pmt_fabric_ws,Fabric,,,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)","Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,,,Azure
Copy_bku,cloudflare_logs_ingest,pmt_fabric_ws,Fabric,,,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",Microsoft Fabric Lakehouse,,,,,Azure
Copy_lhf,lh_for_DL_capacity_test,pmt_fabric_ws,Fabric,,,Microsoft Fabric Lakehouse,Microsoft Fabric Lakehouse,,,,,Azure
