pipeline_name,factory_name,factory_type,subscription_id,activity_name,activity_type,detected_technique,confidence,evidence,source_connector,sink_connector,has_watermark_lookup,has_downstream_sproc,has_downstream_spark,copy_upsert_enabled,cdc_references_found,watermark_references_found,subscription_name
loaddw_from_lh,pmt_fabric_ws,Fabric,,Copy_ey2,Copy,Full Load,High,default,DelimitedText,DataWarehouse,False,False,False,False,False,False,
pipeline_to_lakehouse_single_file,pmt_fabric_ws,Fabric,,Copy_y03,Copy,Full Load,High,default,DelimitedText,LakehouseTable,False,False,False,False,False,False,
LoadUKPropertyCSV,pmt_fabric_ws,Fabric,,Copy_2o3,Copy,Full Load,High,default,DelimitedText,DataWarehouse,False,False,False,False,False,False,
LoadfromLakehouse,pmt_fabric_ws,Fabric,,Copy_men,Copy,Full Load,High,default,DelimitedText,DataWarehouse,False,False,False,False,False,False,
warehousemigration_pipeline3,pmt_fabric_ws,Fabric,,Copy_qmb,Copy,Full Load,High,default,DelimitedText,DataWarehouse,False,False,False,False,False,False,
LoadUKPropertyCSV_CUJ5,pmt_fabric_ws,Fabric,,Copy_2o3,Copy,Full Load,High,default,DelimitedText,DataWarehouse,False,False,False,False,False,False,
pipeline_to_lakehouse,pmt_fabric_ws,Fabric,,Copy_9d7,Copy,Full Load,High,default,AzureBlobStorage (Parquet),LakehouseTable,False,False,False,False,False,False,
pipeline_parquet,pmt_fabric_ws,Fabric,,Copy_gcd,Copy,Full Load,High,default,AzureBlobFS (Parquet),DataWarehouse,False,False,False,False,False,False,
pipeline_parquet,pmt_fabric_ws,Fabric,,Copy_gcd_copy1,Copy,Full Load,High,default,AzureBlobFS (Parquet),DataWarehouse,False,False,False,False,False,False,
pipeline_to_warehouse_single_file,pmt_fabric_ws,Fabric,,Copy_gn3,Copy,Full Load,High,default,DelimitedText,DataWarehouse,False,False,False,False,False,False,
